observation_date,SenateMajorityRev,HouseMajorityRev,PresidentPartyRev,UnifiedGovRev
01/01/1954,1,1,1,1
01/04/1954,1,1,1,1
01/07/1954,1,1,1,1
01/10/1954,1,1,1,1
01/01/1955,1,1,1,1
01/04/1955,1,1,1,1
01/07/1955,1,1,1,1
01/10/1955,1,1,1,1
01/01/1956,1,1,1,1
01/04/1956,1,1,1,1
01/07/1956,1,1,1,1
01/10/1956,1,1,1,1
01/01/1957,1,1,1,1
01/04/1957,1,1,1,1
01/07/1957,1,1,1,1
01/10/1957,1,1,1,1
01/01/1958,1,1,1,1
01/04/1958,1,1,1,1
01/07/1958,1,1,1,1
01/10/1958,1,1,1,1
01/01/1959,1,1,1,1
01/04/1959,1,1,1,1
01/07/1959,1,1,1,1
01/10/1959,1,1,1,1
01/01/1960,1,1,1,1
01/04/1960,1,1,1,1
01/07/1960,1,1,1,1
01/10/1960,1,1,1,1
01/01/1961,1,1,1,1
01/04/1961,1,1,1,1
01/07/1961,1,1,1,1
01/10/1961,1,1,1,1
01/01/1962,1,1,1,1
01/04/1962,1,1,1,1
01/07/1962,1,1,1,1
01/10/1962,1,1,1,1
01/01/1963,1,1,1,1
01/04/1963,1,1,1,1
01/07/1963,1,1,1,1
01/10/1963,1,1,1,1
01/01/1964,1,1,1,1
01/04/1964,1,1,1,1
01/07/1964,1,1,1,1
01/10/1964,1,1,1,1
01/01/1965,1,1,1,1
01/04/1965,1,1,1,1
01/07/1965,1,1,1,1
01/10/1965,1,1,1,1
01/01/1966,1,1,1,1
01/04/1966,1,1,1,1
01/07/1966,1,1,1,1
01/10/1966,1,1,1,1
01/01/1967,1,1,1,1
01/04/1967,1,1,1,1
01/07/1967,1,1,1,1
01/10/1967,1,1,1,1
01/01/1968,1,1,1,1
01/04/1968,1,1,1,1
01/07/1968,1,1,1,1
01/10/1968,1,1,1,1
01/01/1969,1,1,0,1
01/04/1969,1,1,0,1
01/07/1969,1,1,0,1
01/10/1969,1,1,0,1
01/01/1970,1,1,0,1
01/04/1970,1,1,0,1
01/07/1970,1,1,0,1
01/10/1970,1,1,0,1
01/01/1971,1,1,0,1
01/04/1971,1,1,0,1
01/07/1971,1,1,0,1
01/10/1971,1,1,0,1
01/01/1972,1,1,0,1
01/04/1972,1,1,0,1
01/07/1972,1,1,0,1
01/10/1972,1,1,0,1
01/01/1973,1,1,0,1
01/04/1973,1,1,0,1
01/07/1973,1,1,0,1
01/10/1973,1,1,0,1
01/01/1974,1,1,0,1
01/04/1974,1,1,0,1
01/07/1974,1,1,0,1
01/10/1974,1,1,0,1
01/01/1975,1,1,0,1
01/04/1975,1,1,0,1
01/07/1975,1,1,0,1
01/10/1975,1,1,0,1
01/01/1976,1,1,0,1
01/04/1976,1,1,0,1
01/07/1976,1,1,0,1
01/10/1976,1,1,0,1
01/01/1977,1,1,1,1
01/04/1977,1,1,1,1
01/07/1977,1,1,1,1
01/10/1977,1,1,1,1
01/01/1978,1,1,1,1
01/04/1978,1,1,1,1
01/07/1978,1,1,1,1
01/10/1978,1,1,1,1
01/01/1979,1,1,1,1
01/04/1979,1,1,1,1
01/07/1979,1,1,1,1
01/10/1979,1,1,1,1
01/01/1980,1,1,1,1
01/04/1980,1,1,1,1
01/07/1980,1,1,1,1
01/10/1980,1,1,1,1
01/01/1981,1,0,0,0
01/04/1981,1,0,0,0
01/07/1981,1,0,0,0
01/10/1981,1,0,0,0
01/01/1982,1,0,0,0
01/04/1982,1,0,0,0
01/07/1982,1,0,0,0
01/10/1982,1,0,0,0
01/01/1983,1,0,0,0
01/04/1983,1,0,0,0
01/07/1983,1,0,0,0
01/10/1983,1,0,0,0
01/01/1984,1,0,0,0
01/04/1984,1,0,0,0
01/07/1984,1,0,0,0
01/10/1984,1,0,0,0
01/01/1985,1,0,0,0
01/04/1985,1,0,0,0
01/07/1985,1,0,0,0
01/10/1985,1,0,0,0
01/01/1986,1,0,0,0
01/04/1986,1,0,0,0
01/07/1986,1,0,0,0
01/10/1986,1,0,0,0
01/01/1987,1,1,0,0
01/04/1987,1,1,0,0
01/07/1987,1,1,0,0
01/10/1987,1,1,0,0
01/01/1988,1,1,0,0
01/04/1988,1,1,0,0
01/07/1988,1,1,0,0
01/10/1988,1,1,0,0
01/01/1989,1,1,0,0
01/04/1989,1,1,0,0
01/07/1989,1,1,0,0
01/10/1989,1,1,0,0
01/01/1990,1,1,0,0
01/04/1990,1,1,0,0
01/07/1990,1,1,0,0
01/10/1990,1,1,0,0
01/01/1991,1,1,0,0
01/04/1991,1,1,0,0
01/07/1991,1,1,0,0
01/10/1991,1,1,0,0
01/01/1992,1,1,0,0
01/04/1992,1,1,0,0
01/07/1992,1,1,0,0
01/10/1992,1,1,0,0
01/01/1993,1,1,1,1
01/04/1993,1,1,1,1
01/07/1993,1,1,1,1
01/10/1993,1,1,1,1
01/01/1994,1,1,1,1
01/04/1994,1,1,1,1
01/07/1994,1,1,1,1
01/10/1994,1,1,1,1
01/01/1995,0,0,1,1
01/04/1995,0,0,1,1
01/07/1995,0,0,1,1
01/10/1995,0,0,1,1
01/01/1996,0,0,1,1
01/04/1996,0,0,1,1
01/07/1996,0,0,1,1
01/10/1996,0,0,1,1
01/01/1997,0,0,1,1
01/04/1997,0,0,1,1
01/07/1997,0,0,1,1
01/10/1997,0,0,1,1
01/01/1998,0,0,1,1
01/04/1998,0,0,1,1
01/07/1998,0,0,1,1
01/10/1998,0,0,1,1
01/01/1999,0,0,1,1
01/04/1999,0,0,1,1
01/07/1999,0,0,1,1
01/10/1999,0,0,1,1
01/01/2000,0,0,1,1
01/04/2000,0,0,1,1
01/07/2000,0,0,1,1
01/10/2000,0,0,1,1
01/01/2001,0,0,0,0
01/04/2001,0,0,0,0
01/07/2001,0,0,0,0
01/10/2001,0,0,0,0
01/01/2002,0,0,0,0
01/04/2002,0,0,0,0
01/07/2002,0,0,0,0
01/10/2002,0,0,0,0
01/01/2003,0,0,0,0
01/04/2003,0,0,0,0
01/07/2003,0,0,0,0
01/10/2003,0,0,0,0
01/01/2004,0,0,0,0
01/04/2004,0,0,0,0
01/07/2004,0,0,0,0
01/10/2004,0,0,0,0
01/01/2005,0,0,0,0
01/04/2005,0,0,0,0
01/07/2005,0,0,0,0
01/10/2005,0,0,0,0
01/01/2006,0,0,0,0
01/04/2006,0,0,0,0
01/07/2006,0,0,0,0
01/10/2006,0,0,0,0
01/01/2007,1,1,0,0
01/04/2007,1,1,0,0
01/07/2007,1,1,0,0
01/10/2007,1,1,0,0
01/01/2008,1,1,0,0
01/04/2008,1,1,0,0
01/07/2008,1,1,0,0
01/10/2008,1,1,0,0
01/01/2009,1,1,1,1
01/04/2009,1,1,1,1
01/07/2009,1,1,1,1
01/10/2009,1,1,1,1
01/01/2010,1,1,1,1
01/04/2010,1,1,1,1
01/07/2010,1,1,1,1
01/10/2010,1,1,1,1
01/01/2011,0,1,1,1
01/04/2011,0,1,1,1
01/07/2011,0,1,1,1
01/10/2011,0,1,1,1
01/01/2012,0,1,1,1
01/04/2012,0,1,1,1
01/07/2012,0,1,1,1
01/10/2012,0,1,1,1
01/01/2013,0,1,1,1
01/04/2013,0,1,1,1
01/07/2013,0,1,1,1
01/10/2013,0,1,1,1
01/01/2014,0,1,1,1
01/04/2014,0,1,1,1
01/07/2014,0,1,1,1
01/10/2014,0,1,1,1
01/01/2015,0,0,1,1
01/04/2015,0,0,1,1
01/07/2015,0,0,1,1
01/10/2015,0,0,1,1
01/01/2016,0,0,1,1
01/04/2016,0,0,1,1
01/07/2016,0,0,1,1
01/10/2016,0,0,1,1
01/01/2017,0,0,0,0
01/04/2017,0,0,0,0
01/07/2017,0,0,0,0
01/10/2017,0,0,0,0
01/01/2018,0,0,0,0
01/04/2018,0,0,0,0
01/07/2018,0,0,0,0
01/10/2018,0,0,0,0
01/01/2019,0,1,0,0
01/04/2019,0,1,0,0
01/07/2019,0,1,0,0
01/10/2019,0,1,0,0
01/01/2020,0,1,0,0
01/04/2020,0,1,0,0
01/07/2020,0,1,0,0
01/10/2020,0,1,0,0
01/01/2021,1,1,1,1
01/04/2021,1,1,1,1
01/07/2021,1,1,1,1
01/10/2021,1,1,1,1
01/01/2022,1,1,1,1
01/04/2022,1,1,1,1
01/07/2022,1,1,1,1
01/10/2022,1,1,1,1
01/01/2023,0,1,1,1
01/04/2023,0,1,1,1
01/07/2023,0,1,1,1
01/10/2023,0,1,1,1
